"id","epocs", "MiniBatch_Id","test_matches","test_cases", "lambda_Reg_", "Cost","Cost_Function_Name","Learning Rate","Total Samples"
4,30,100,65.00,100,1.5,3.55259702764091,"Cross Entropy",0.01,1000
5,30,100,67.00,100,1.5,4.41633695036445,"Cross Entropy",0.01,1000
6,30,100,69.00,100,1.5,3.76617917442562,"Cross Entropy",0.01,1000
7,30,100,69.00,100,1.5,2.86284058977297,"Cross Entropy",0.01,1000
8,30,100,68.00,100,1.5,5.29830926357042,"Cross Entropy",0.01,1000
9,30,100,72.00,100,1.5,3.9623953402155,"Cross Entropy",0.01,1000
10,30,100,69.00,100,1.5,3.6060407557908,"Cross Entropy",0.01,1000
11,30,100,73.00,100,1.5,4.64533621056165,"Cross Entropy",0.01,1000
12,30,100,71.00,100,1.5,5.12817870410852,"Cross Entropy",0.01,1000
13,30,100,69.00,100,1.5,4.43625231073583,"Cross Entropy",0.01,1000
14,30,100,75.00,100,1.5,3.74576147295026,"Cross Entropy",0.01,1000
15,30,100,79.00,100,1.5,4.53047857302712,"Cross Entropy",0.01,1000
16,30,100,75.00,100,1.5,4.50910326476206,"Cross Entropy",0.01,1000
17,30,100,77.00,100,1.5,5.21166380684365,"Cross Entropy",0.01,1000
18,30,100,78.00,100,1.5,5.99995603241903,"Cross Entropy",0.01,1000
19,30,100,76.00,100,1.5,4.99518940422742,"Cross Entropy",0.01,1000
20,30,100,76.00,100,1.5,4.90604125940973,"Cross Entropy",0.01,1000
21,30,100,73.00,100,1.5,4.41998996879336,"Cross Entropy",0.01,1000
22,30,100,74.00,100,1.5,4.0938262307535,"Cross Entropy",0.01,1000
23,30,100,85.00,100,1.5,3.21917534948846,"Cross Entropy",0.01,1000
24,30,100,80.00,100,1.5,4.66134933198042,"Cross Entropy",0.01,1000
25,30,100,80.00,100,1.5,4.56395390142749,"Cross Entropy",0.01,1000
26,30,100,79.00,100,1.5,6.69329720515361,"Cross Entropy",0.01,1000
27,30,100,83.00,100,1.5,5.2655696768323,"Cross Entropy",0.01,1000
28,30,100,78.00,100,1.5,5.73023821461058,"Cross Entropy",0.01,1000
29,30,100,80.00,100,1.5,6.12383135155928,"Cross Entropy",0.01,1000
"id","epocs", "MiniBatch_Id","test_matches","test_cases", "lambda_Reg_", "Cost","Cost_Function_Name","Learning Rate","Total Samples"
0,30,100,19.00,100,1.5,3.06310650312882,"Cross Entropy",0.001,1000
1,30,100,28.00,100,1.5,4.98264551424433,"Cross Entropy",0.001,1000
2,30,100,35.00,100,1.5,3.94078769377963,"Cross Entropy",0.001,1000
3,30,100,44.00,100,1.5,4.35449533520231,"Cross Entropy",0.001,1000
4,30,100,48.00,100,1.5,4.10355135033232,"Cross Entropy",0.001,1000
5,30,100,47.00,100,1.5,4.05343721785593,"Cross Entropy",0.001,1000
6,30,100,54.00,100,1.5,3.78788786336495,"Cross Entropy",0.001,1000
7,30,100,55.00,100,1.5,3.68195922904367,"Cross Entropy",0.001,1000
8,30,100,57.00,100,1.5,3.23238444241533,"Cross Entropy",0.001,1000
9,30,100,56.00,100,1.5,5.35184272782909,"Cross Entropy",0.001,1000
10,30,100,59.00,100,1.5,3.50758843351455,"Cross Entropy",0.001,1000
11,30,100,59.00,100,1.5,6.22571442931436,"Cross Entropy",0.001,1000
12,30,100,60.00,100,1.5,3.33814015036003,"Cross Entropy",0.001,1000
13,30,100,65.00,100,1.5,6.13592112809008,"Cross Entropy",0.001,1000
14,30,100,63.00,100,1.5,4.47143149998556,"Cross Entropy",0.001,1000
15,30,100,61.00,100,1.5,4.8537703924215,"Cross Entropy",0.001,1000
16,30,100,66.00,100,1.5,5.09878836540122,"Cross Entropy",0.001,1000
17,30,100,66.00,100,1.5,3.5443433918128,"Cross Entropy",0.001,1000
18,30,100,66.00,100,1.5,3.54821481945572,"Cross Entropy",0.001,1000
19,30,100,65.00,100,1.5,4.77468670774926,"Cross Entropy",0.001,1000
20,30,100,66.00,100,1.5,5.30426220850178,"Cross Entropy",0.001,1000
